target,source,o_name,d_name,non_norm_flow,population origin,flow,the_geom,,,,
BW,SH,Baden-W�rttemberg,Schleswig-Holstein,2732,10753880,0.000254048,0101000020E61000007F131653F61A2240A6A9BAC668454840,,,,
BW,HH,Baden-W�rttemberg,Hamburg,3168,10753880,0.000294591,0101000020E61000007F131653F61A2240A6A9BAC668454840,,,,
BW,NI,Baden-W�rttemberg,Niedersachsen,6966,10753880,0.000647766,0101000020E61000007F131653F61A2240A6A9BAC668454840,,,,
BW,HB,Baden-W�rttemberg,Bremen,897,10753880,8.34118E-05,0101000020E61000007F131653F61A2240A6A9BAC668454840,,,,
BW,NW,Baden-W�rttemberg,Nordrhein-Westfalen,17645,10753880,0.001640803,0101000020E61000007F131653F61A2240A6A9BAC668454840,,,,
BW,HE,Baden-W�rttemberg,Hessen,16053,10753880,0.001492764,0101000020E61000007F131653F61A2240A6A9BAC668454840,,,,
BW,RP,Baden-W�rttemberg,Rheinland-Pfalz,13985,10753880,0.001300461,0101000020E61000007F131653F61A2240A6A9BAC668454840,,,,
BW,BY,Baden-W�rttemberg,Bayern,34985,10753880,0.003253244,0101000020E61000007F131653F61A2240A6A9BAC668454840,,,,
BW,SL,Baden-W�rttemberg,Saarland,1867,10753880,0.000173612,0101000020E61000007F131653F61A2240A6A9BAC668454840,,,,
BW,BE,Baden-W�rttemberg,Berlin,7223,10753880,0.000671665,0101000020E61000007F131653F61A2240A6A9BAC668454840,,,,
BW,BB,Baden-W�rttemberg,Brandenburg,2220,10753880,0.000206437,0101000020E61000007F131653F61A2240A6A9BAC668454840,,,,
BW,MV,Baden-W�rttemberg,Mecklenburg-Vorpommern,471,10753880,4.37981E-05,0101000020E61000007F131653F61A2240A6A9BAC668454840,,,,
BW,SN,Baden-W�rttemberg,Sachsen,4666,10753880,0.00043389,0101000020E61000007F131653F61A2240A6A9BAC668454840,,,,
BW,ST,Baden-W�rttemberg,Sachsen-Anhalt,1792,10753880,0.000166638,0101000020E61000007F131653F61A2240A6A9BAC668454840,,,,
BW,TH,Baden-W�rttemberg,Th�ringen,2334,10753880,0.000217038,0101000020E61000007F131653F61A2240A6A9BAC668454840,,,,
BY,SH,Bayern,Schleswig-Holstein,2852,12538696,0.000227456,0101000020E6100000C3439E9570D22640F90FE7E482784840,,,,
BY,HH,Bayern,Hamburg,3271,12538696,0.000260872,0101000020E6100000C3439E9570D22640F90FE7E482784840,,,,
BY,NI,Bayern,Niedersachsen,7110,12538696,0.000567045,0101000020E6100000C3439E9570D22640F90FE7E482784840,,,,
BY,HB,Bayern,Bremen,775,12538696,6.18087E-05,0101000020E6100000C3439E9570D22640F90FE7E482784840,,,,
BY,NW,Bayern,Nordrhein-Westfalen,16872,12538696,0.001345594,0101000020E6100000C3439E9570D22640F90FE7E482784840,,,,
BY,HE,Bayern,Hessen,13372,12538696,0.001066459,0101000020E6100000C3439E9570D22640F90FE7E482784840,,,,
BY,RP,Bayern,Rheinland-Pfalz,4746,12538696,0.000378508,0101000020E6100000C3439E9570D22640F90FE7E482784840,,,,
BY,BW,Bayern,Baden-W�rttemberg,32351,12538696,0.002580093,0101000020E6100000C3439E9570D22640F90FE7E482784840,,,,
BY,SL,Bayern,Saarland,890,12538696,7.09803E-05,0101000020E6100000C3439E9570D22640F90FE7E482784840,,,,
BY,BE,Bayern,Berlin,8196,12538696,0.000653656,0101000020E6100000C3439E9570D22640F90FE7E482784840,,,,
BY,BB,Bayern,Brandenburg,2398,12538696,0.000191248,0101000020E6100000C3439E9570D22640F90FE7E482784840,,,,
BY,MV,Bayern,Mecklenburg-Vorpommern,474,12538696,3.7803E-05,0101000020E6100000C3439E9570D22640F90FE7E482784840,,,,
BY,SN,Bayern,Sachsen,7401,12538696,0.000590253,0101000020E6100000C3439E9570D22640F90FE7E482784840,,,,
BY,ST,Bayern,Sachsen-Anhalt,2224,12538696,0.000177371,0101000020E6100000C3439E9570D22640F90FE7E482784840,,,,
