target,source,o_name,d_name,non_norm_flow,population origin,flow,the_geom,,,,
ST,SN,Sachsen-Anhalt,Sachsen,6252,2335006,0.002677509,0101000020E61000000DE033CEB8642740DF3E433E20004A40,,,,
ST,TH,Sachsen-Anhalt,Th�ringen,2825,2335006,0.001209847,0101000020E61000000DE033CEB8642740DF3E433E20004A40,,,,
TH,SH,Th�ringen,Schleswig-Holstein,620,2235025,0.000277402,0101000020E61000001044BC4A380C2640CEA5D05DC5724940,,,,
TH,HH,Th�ringen,Hamburg,584,2235025,0.000261295,0101000020E61000001044BC4A380C2640CEA5D05DC5724940,,,,
TH,NI,Th�ringen,Niedersachsen,2717,2235025,0.001215646,0101000020E61000001044BC4A380C2640CEA5D05DC5724940,,,,
TH,HB,Th�ringen,Bremen,197,2235025,8.81422E-05,0101000020E61000001044BC4A380C2640CEA5D05DC5724940,,,,
TH,NW,Th�ringen,Nordrhein-Westfalen,3134,2235025,0.001402221,0101000020E61000001044BC4A380C2640CEA5D05DC5724940,,,,
TH,HE,Th�ringen,Hessen,3384,2235025,0.001514077,0101000020E61000001044BC4A380C2640CEA5D05DC5724940,,,,
TH,RP,Th�ringen,Rheinland-Pfalz,890,2235025,0.000398206,0101000020E61000001044BC4A380C2640CEA5D05DC5724940,,,,
TH,BW,Th�ringen,Baden-W�rttemberg,2984,2235025,0.001335108,0101000020E61000001044BC4A380C2640CEA5D05DC5724940,,,,
TH,BY,Th�ringen,Bayern,6177,2235025,0.002763727,0101000020E61000001044BC4A380C2640CEA5D05DC5724940,,,,
TH,SL,Th�ringen,Saarland,104,2235025,4.65319E-05,0101000020E61000001044BC4A380C2640CEA5D05DC5724940,,,,
TH,BE,Th�ringen,Berlin,2062,2235025,0.000922585,0101000020E61000001044BC4A380C2640CEA5D05DC5724940,,,,
TH,BB,Th�ringen,Brandenburg,991,2235025,0.000443395,0101000020E61000001044BC4A380C2640CEA5D05DC5724940,,,,
TH,MV,Th�ringen,Mecklenburg-Vorpommern,239,2235025,0.000106934,0101000020E61000001044BC4A380C2640CEA5D05DC5724940,,,,
TH,SN,Th�ringen,Sachsen,5638,2235025,0.002522567,0101000020E61000001044BC4A380C2640CEA5D05DC5724940,,,,
TH,ST,Th�ringen,Sachsen-Anhalt,2500,2235025,0.001118556,0101000020E61000001044BC4A380C2640CEA5D05DC5724940,,,,
